close,epoch,high,low,open
95157.2592,2025-03-15 15:39:00,95259.8223,95116.3268,95254.0547
95181.7565,2025-03-15 15:40:00,95235.4349,95152.0829,95170.3012
95094.5938,2025-03-15 15:41:00,95205.5572,95034.5327,95185.2016
95125.4292,2025-03-15 15:42:00,95172.8211,95053.1538,95090.4552
95133.4373,2025-03-15 15:43:00,95265.2368,95094.4103,95121.3417
95046.5324,2025-03-15 15:44:00,95123.8128,95016.9365,95123.8128
95037.7507,2025-03-15 15:45:00,95071.2439,94949.5268,95021.2604
95034.7194,2025-03-15 15:46:00,95077.9478,94997.2459,95064.2779
94893.2131,2025-03-15 15:47:00,95031.931,94885.928,95031.931
94981.6661,2025-03-15 15:48:00,94981.6661,94864.3475,94892.4693
94969.3717,2025-03-15 15:49:00,94997.7794,94887.314,94977.2515
95008.2636,2025-03-15 15:50:00,95047.588,94953.3697,94973.5728
95037.1641,2025-03-15 15:51:00,95107.6846,95004.652,95006.5541
95066.707,2025-03-15 15:52:00,95131.6175,95023.1044,95023.1044
95160.6761,2025-03-15 15:53:00,95160.6761,95011.1588,95042.4867
95035.9773,2025-03-15 15:54:00,95194.381,94937.2182,95149.7299
95043.2323,2025-03-15 15:55:00,95065.3788,94961.1633,95039.8556
94972.1585,2025-03-15 15:56:00,95052.0954,94970.2673,95019.3868
94896.3055,2025-03-15 15:57:00,94972.0416,94896.3055,94972.0416
94829.5347,2025-03-15 15:58:00,94898.9155,94803.3798,94898.9155
94860.284,2025-03-15 15:59:00,94893.1605,94778.7522,94838.9124
94796.2682,2025-03-15 16:00:00,94885.2129,94723.3458,94885.2129
94888.9078,2025-03-15 16:01:00,94933.9188,94816.2713,94816.2713
94920.7068,2025-03-15 16:02:00,94971.8451,94852.9355,94907.123
94870.4313,2025-03-15 16:03:00,94943.604,94852.7611,94908.8849
94994.9986,2025-03-15 16:04:00,94996.9897,94870.5928,94870.5928
95000.5767,2025-03-15 16:05:00,95029.0019,94910.2364,94963.7915
94873.2706,2025-03-15 16:06:00,95029.3206,94840.6834,95006.6508
94945.0656,2025-03-15 16:07:00,94948.6422,94854.798,94904.9124
94960.6358,2025-03-15 16:08:00,95017.3997,94893.8222,94936.1895
94834.0605,2025-03-15 16:09:00,94968.9114,94834.0605,94943.3443
94917.636,2025-03-15 16:10:00,94917.9194,94781.251,94817.522
94958.5863,2025-03-15 16:11:00,95000.6642,94885.1713,94918.7814
94966.8844,2025-03-15 16:12:00,95042.6898,94923.6373,94945.9275
94946.682,2025-03-15 16:13:00,95025.4201,94935.8205,94963.9058
94965.3909,2025-03-15 16:14:00,94989.908,94867.4776,94939.1488
94804.561,2025-03-15 16:15:00,94953.3646,94769.9309,94936.8134
94827.5129,2025-03-15 16:16:00,94828.8384,94754.9367,94806.6131
94978.8927,2025-03-15 16:17:00,95048.7953,94805.2418,94845.671
94885.9916,2025-03-15 16:18:00,95047.7968,94880.658,94980.8542
94915.4549,2025-03-15 16:19:00,94952.3176,94875.2467,94881.1908
94922.5543,2025-03-15 16:20:00,94962.2006,94878.6621,94925.2336
94942.4058,2025-03-15 16:21:00,95015.21,94859.9879,94936.4584
94991.6265,2025-03-15 16:22:00,95010.7886,94893.615,94933.3225
94965.4257,2025-03-15 16:23:00,95042.5531,94919.0052,94971.8296
94967.6307,2025-03-15 16:24:00,94998.6806,94921.2711,94973.1201
94971.4364,2025-03-15 16:25:00,94985.9668,94883.8414,94978.771
94961.1958,2025-03-15 16:26:00,95000.2318,94931.1223,94954.1721
94997.2751,2025-03-15 16:27:00,95034.5188,94914.1863,94957.9298
95038.7542,2025-03-15 16:28:00,95065.9297,94962.5797,94992.6299
94987.5135,2025-03-15 16:29:00,95100.6546,94924.0695,95055.1212
95032.3579,2025-03-15 16:30:00,95100.0619,94963.0964,94987.1737
95001.1361,2025-03-15 16:31:00,95036.5126,94929.1633,95026.1897
94999.3905,2025-03-15 16:32:00,95112.0448,94987.9413,94992.3511
94871.6897,2025-03-15 16:33:00,95000.3004,94806.0908,95000.3004
94812.8816,2025-03-15 16:34:00,94882.5624,94753.146,94882.5624
94849.2172,2025-03-15 16:35:00,94892.1286,94774.9251,94804.5772
94810.656,2025-03-15 16:36:00,94845.6033,94772.1195,94844.9065
94830.0084,2025-03-15 16:37:00,94839.6824,94774.9244,94833.0346
94934.6879,2025-03-15 16:38:00,94934.6879,94806.737,94811.39
94795.3561,2025-03-15 16:39:00,94941.4699,94768.4405,94941.4699
94698.8933,2025-03-15 16:40:00,94791.9209,94691.2386,94791.9209
94767.7783,2025-03-15 16:41:00,94777.5629,94607.953,94654.9685
94775.7539,2025-03-15 16:42:00,94833.0259,94719.2384,94756.4843
94658.2626,2025-03-15 16:43:00,94809.5104,94612.2456,94786.139
94670.1998,2025-03-15 16:44:00,94701.8371,94632.6696,94678.0874
94629.517,2025-03-15 16:45:00,94729.6625,94597.4202,94689.7135
94565.7644,2025-03-15 16:46:00,94649.7105,94541.7031,94613.021
94848.1233,2025-03-15 16:47:00,94864.476,94572.996,94572.996
94812.2319,2025-03-15 16:48:00,94839.1399,94762.6393,94817.5287
94889.5963,2025-03-15 16:49:00,94940.2217,94795.4559,94797.6043
94820.8897,2025-03-15 16:50:00,94915.3253,94790.9971,94875.0255
94772.7698,2025-03-15 16:51:00,94835.3411,94693.418,94815.755
94777.2677,2025-03-15 16:52:00,94811.1371,94723.7774,94753.4053
94787.9469,2025-03-15 16:53:00,94815.0491,94651.4394,94790.7045
94687.1724,2025-03-15 16:54:00,94800.8895,94640.7548,94765.4963
94652.2332,2025-03-15 16:55:00,94715.0098,94621.999,94699.5505
94707.7002,2025-03-15 16:56:00,94725.644,94631.2638,94665.0505
94585.1653,2025-03-15 16:57:00,94700.9418,94585.1653,94685.9241
94738.7752,2025-03-15 16:58:00,94773.584,94593.4958,94602.2194
94644.4039,2025-03-15 16:59:00,94782.7954,94644.4039,94762.425
94692.8405,2025-03-15 17:00:00,94744.6213,94649.674,94649.674
94664.3914,2025-03-15 17:01:00,94767.3629,94637.017,94724.0949
94642.9312,2025-03-15 17:02:00,94728.4354,94641.2885,94653.4919
94491.6884,2025-03-15 17:03:00,94617.3857,94491.3762,94615.5896
94384.6784,2025-03-15 17:04:00,94530.6639,94384.6784,94483.6746
94387.6155,2025-03-15 17:05:00,94429.223,94342.5261,94389.4604
94378.6216,2025-03-15 17:06:00,94444.9457,94355.9956,94403.6265
94293.062,2025-03-15 17:07:00,94408.1539,94293.062,94390.3738
94141.6194,2025-03-15 17:08:00,94312.1767,94111.7492,94312.1767
94043.8536,2025-03-15 17:09:00,94126.6204,94001.4154,94126.6204
94088.8451,2025-03-15 17:10:00,94118.8472,94043.0288,94055.8977
94049.2047,2025-03-15 17:11:00,94113.1578,93973.8436,94105.6024
93877.3599,2025-03-15 17:12:00,94056.6791,93867.1945,94056.6791
93822.7314,2025-03-15 17:13:00,93916.8237,93794.1632,93871.0558
93857.0597,2025-03-15 17:14:00,93889.0231,93788.7014,93843.8896
93934.9625,2025-03-15 17:15:00,93944.812,93829.3,93877.9114
93962.8101,2025-03-15 17:16:00,93980.7718,93896.5016,93951.021
93885.2241,2025-03-15 17:17:00,93975.2111,93862.318,93948.0898
93951.0645,2025-03-15 17:18:00,93951.0645,93887.257,93887.257
