Action,Amount,Asset,Prediction
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,100,EURUSD,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
BUY,10,R_75,[0]
